PNA;NAZWA JEDNOSTKI ORGANIZACYJNEJ;MIEJSCOWOå∆;ULICA;NR;GMINA;POWIAT;WOJEW”DZTWO
21-300;Dzia≥ Ekspedycyjno-Rozdzielczy w Radzyniu Podlaskim;RadzyÒ Podlaski;Jaros≥awa Dπbrowskiego;18;RadzyÒ Podlaski;radzyÒski;lubelskie
22-400;Dzia≥ Ekspedycyjno-Rozdzielczy w Zamoúciu;ZamoúÊ;Karola Namys≥owskiego;6;ZamoúÊ;ZamoúÊ;lubelskie
26-600;Wydzia≥ Terenowy Transportu Radom;Radom;W≥adys≥awa Beliny-Praømowskiego;2;Radom;Radom;mazowieckie
22-400;Wydzia≥ Terenowy Transportu ZamoúÊ;ZamoúÊ;Karola Namys≥owskiego;6;ZamoúÊ;ZamoúÊ;lubelskie
90-900;POL Region Dystrybucji £Ûdü;£Ûdü;al. W≥Ûkniarzy;227;£Ûdü;£Ûdü;≥Ûdzkie
90-900;Wydzia≥ Ekspedycyjno-Rozdzielczy w £odzi;£Ûdü;al. W≥Ûkniarzy;227;£Ûdü;£Ûdü;≥Ûdzkie
94-104;Wydzia≥ Terenowy Transportu £Ûdü;£Ûdü;Obywatelska;121/129;£Ûdü;£Ûdü;≥Ûdzkie
60-900;POL Region Dystrybucji PoznaÒ;Komorniki;Polna;120;Komorniki;poznaÒski;wielkopolskie
66-400;Wydzia≥ Terenowy Transportu GorzÛw Wielkopolski;GorzÛw Wielkopolski;Kazimierza JagielloÒczyka;4;GorzÛw Wielkopolski;GorzÛw Wielkopolski;lubuskie
62-800;Wydzia≥ Terenowy Transportu Kalisz;Kalisz;Zamkowa;18/20;Kalisz;Kalisz;wielkopolskie
60-900;Wydzia≥ Ekspedycyjno-Rozdzielczy w Komornikach;Komorniki;Polna;120;Komorniki;poznaÒski;wielkopolskie
66-400;Dzia≥ Ekspedycyjno-Rozdzielczy w Gorzowie Wielkopolskim;GorzÛw Wielkopolski;Kazimierza JagielloÒczyka;4;GorzÛw Wielkopolski;GorzÛw Wielkopolski;lubuskie
63-410;Dzia≥ Ekspedycyjno-Rozdzielczy w Ostrowie Wielkopolskim;OstrÛw Wielkopolski;Towarowa;3;OstrÛw Wielkopolski;ostrowski;wielkopolskie
65-900;Dzia≥ Ekspedycyjno-Rozdzielczy w Zielonej GÛrze;Zielona GÛra;Elektronowa;1;Zielona GÛra;Zielona GÛra;lubuskie
60-900;Wydzia≥ Terenowy Transportu PoznaÒ;Komorniki;Polna;120;Komorniki;poznaÒski;wielkopolskie
65-900;Wydzia≥ Terenowy Transportu Zielona GÛra;Zielona GÛra;Elektronowa;1;Zielona GÛra;Zielona GÛra;lubuskie
00-900;POL Region Dystrybucji Warszawa;Warszawa;£πczyny;8;Warszawa;Warszawa;mazowieckie
06-400;Wydzia≥ Terenowy Transportu CiechanÛw;CiechanÛw;Gostkowska;39a;CiechanÛw;ciechanowski;mazowieckie
07-410;Wydzia≥ Terenowy Transportu Ostro≥Íka;Ostro≥Íka;Targowa;24;Ostro≥Íka;Ostro≥Íka;mazowieckie
09-401;Wydzia≥ Terenowy Transportu P≥ock;P≥ock;Przemys≥owa;19;P≥ock;P≥ock;mazowieckie
08-110;Wydzia≥ Terenowy Transportu Siedlce;Siedlce;Brzeska;124;Siedlce;Siedlce;mazowieckie
00-900;Wydzia≥ Ekspedycyjno-Rozdzielczy w Warszawie;Warszawa;£πczyny;8;Warszawa;Warszawa;mazowieckie
03-450;Wydzia≥ Terenowy Transportu Warszawa;Warszawa;Ratuszowa;7/9;Warszawa;Warszawa;mazowieckie
00-900;Wydzia≥ Terenowy Transportu Warszawa;Warszawa;£πczyny;8;Warszawa;Warszawa;mazowieckie
06-410;Dzia≥ Ekspedycyjno-Rozdzielczy w Ciechanowie;CiechanÛw;Henryka Sienkiewicza;81;CiechanÛw;ciechanowski;mazowieckie
07-410;Dzia≥ Ekspedycyjno-Rozdzielczy w Ostro≥Íce;Ostro≥Íka;Graniczna;8;Ostro≥Íka;Ostro≥Íka;mazowieckie
09-420;Dzia≥ Ekspedycyjno-Rozdzielczy w P≥ocku;P≥ock;Przemys≥owa;19;P≥ock;P≥ock;mazowieckie
08-110;Dzia≥ Ekspedycyjno-Rozdzielczy w Siedlcach;Siedlce;pl. Stanis≥awa Zdanowskiego;2;Siedlce;Siedlce;mazowieckie
50-900;POL Region Dystrybucji Wroc≥aw;Wroc≥aw;Ibn Siny Awicenny;21;Wroc≥aw;Wroc≥aw;dolnoúlπskie
58-500;Wydzia≥ Terenowy Transportu Jelenia GÛra;Jelenia GÛra;SpÛ≥dzielcza;43;Jelenia GÛra;Jelenia GÛra;dolnoúlπskie
57-300;Wydzia≥ Terenowy Transportu K≥odzko;K≥odzko;Objazdowa;14;K≥odzko;k≥odzki;dolnoúlπskie
